date,event_id,start_time,home_abbr,away_abbr,selection,odds,model_prob,implied_prob,value,stake,status,payout,profit,actual_outcome,created_at,updated_at
2026-01-21,CBJ-OTT-2026-01-21,2026-01-21T01:00:00+01:00,CBJ,OTT,home,2.35,0.457,0.42553,0.07433,0.0,below_threshold,0.0,0.0,,2026-01-20T08:43:20.482845,2026-01-20T08:43:20.482845
2026-01-21,MTL-MIN-2026-01-21,2026-01-21T01:00:00+01:00,MTL,MIN,draw,3.95,0.251,0.25316,-0.01015,0.0,below_threshold,0.0,0.0,,2026-01-20T08:43:20.482856,2026-01-20T08:43:20.482856
2026-01-21,NSH-BUF-2026-01-21,2026-01-21T02:00:00+01:00,NSH,BUF,home,2.15,0.512,0.46512,0.10134,0.0,below_threshold,0.0,0.0,,2026-01-20T08:43:20.482867,2026-01-20T08:43:20.482867
2026-01-21,WPG-STL-2026-01-21,2026-01-21T02:00:00+01:00,WPG,STL,away,2.55,0.401,0.39216,0.02201,0.0,below_threshold,0.0,0.0,,2026-01-20T08:43:20.482877,2026-01-20T08:43:20.482877
2026-01-22,TOR-DET-2026-01-22,2026-01-22T01:00:00+01:00,TOR,DET,draw,3.85,0.285,0.25974,0.09826,0.0,below_threshold,0.0,0.0,,2026-01-21T08:41:56.692853,2026-01-21T08:41:56.692853
2026-01-22,SEA-NYI-2026-01-22,2026-01-22T03:30:00+01:00,SEA,NYI,home,2.45,0.41,0.40816,0.00407,0.0,below_threshold,0.0,0.0,,2026-01-21T08:41:56.692865,2026-01-21T08:41:56.692865
2026-01-22,CGY-PIT-2026-01-22,2026-01-22T03:30:00+01:00,CGY,PIT,home,2.4,0.465,0.41667,0.11629,0.0,below_threshold,0.0,0.0,,2026-01-21T08:41:56.692876,2026-01-21T08:41:56.692876
2026-01-23,CBJ-DAL-2026-01-23,2026-01-23T01:00:00+01:00,CBJ,DAL,home,2.45,0.447,0.40816,0.09477,0.0,below_threshold,0.0,0.0,,2026-01-22T08:43:50.313491,2026-01-22T08:43:50.313491
2026-01-23,BOS-VGK-2026-01-23,2026-01-23T01:00:00+01:00,BOS,VGK,draw,3.85,0.278,0.25974,0.07109,0.0,below_threshold,0.0,0.0,,2026-01-22T08:43:50.313506,2026-01-22T08:43:50.313506
2026-01-23,MTL-BUF-2026-01-23,2026-01-23T01:00:00+01:00,MTL,BUF,away,2.6,0.401,0.38462,0.04272,0.0,below_threshold,0.0,0.0,,2026-01-22T08:43:50.313518,2026-01-22T08:43:50.313518
