date,event_id,start_time,home_abbr,away_abbr,selection,odds,model_prob,implied_prob,value,stake,status,payout,profit,actual_outcome,created_at,updated_at
2025-12-07,TOR-MTL-2025-12-07,2025-12-07T01:00:00+01:00,TOR,MTL,draw,4.0,0.273,0.25,0.092,100.0,won,400.0,300.0,draw,2025-12-06T13:13:45.214068,2025-12-07T08:33:08.671170
2025-12-07,BOS-NJD-2025-12-07,2025-12-07T01:00:00+01:00,BOS,NJD,draw,3.85,0.279,0.25974,0.07415,100.0,lost,0.0,-100.0,home,2025-12-06T13:13:45.214077,2025-12-07T08:33:08.671195
2025-12-07,OTT-STL-2025-12-07,2025-12-07T01:00:00+01:00,OTT,STL,draw,3.95,0.303,0.253165,0.19685,100.0,lost,0.0,-100.0,away,2025-12-06T13:13:45.214085,2025-12-07T08:33:08.671218
2025-12-07,LAK-CHI-2025-12-07,2025-12-07T03:00:00+01:00,LAK,CHI,away,3.5,0.382,0.285714,0.337,100.0,won,350.0,250.0,away,2025-12-06T13:13:45.214100,2025-12-07T08:33:08.671238
2025-12-07,EDM-WPG-2025-12-07,2025-12-07T04:00:00+01:00,EDM,WPG,draw,4.3,0.32,0.232558,0.376,100.0,lost,0.0,-100.0,home,2025-12-06T13:13:45.214114,2025-12-07T08:33:08.671265
2025-12-07,VAN-MIN-2025-12-07,2025-12-07T04:00:00+01:00,VAN,MIN,home,2.75,0.376,0.363636,0.034,100.0,won,275.0,175.0,home,2025-12-06T13:13:45.214124,2025-12-07T08:33:08.671292
2025-12-09,TOR-TBL-2025-12-09,2025-12-09T01:30:00+01:00,TOR,TBL,draw,3.9,0.326,0.25641,0.2714,100.0,lost,0.0,-100.0,home,2025-12-08T08:41:15.974008,2025-12-09T08:40:01.298299
2025-12-09,UTA-LAK-2025-12-09,2025-12-09T03:00:00+01:00,UTA,LAK,home,2.25,0.489,0.444444,0.10025,100.0,lost,0.0,-100.0,away,2025-12-08T08:41:15.974023,2025-12-09T08:40:01.298557
2025-12-10,PIT-ANA-2025-12-10,2025-12-10T01:00:00+01:00,PIT,ANA,draw,4.0,0.293,0.25,0.172,100.0,won,400.0,300.0,draw,2025-12-09T08:40:21.389417,2025-12-10T08:38:29.677837
2025-12-10,MTL-TBL-2025-12-10,2025-12-10T01:00:00+01:00,MTL,TBL,draw,3.9,0.317,0.25641,0.2363,100.0,lost,0.0,-100.0,away,2025-12-09T08:40:21.389432,2025-12-10T08:38:29.678112
2025-12-10,NYI-VGK-2025-12-10,2025-12-10T01:00:00+01:00,NYI,VGK,draw,3.9,0.363,0.25641,0.4157,100.0,won,390.0,290.0,draw,2025-12-09T08:40:21.389441,2025-12-10T08:38:29.678145
2025-12-10,PHI-SJS-2025-12-10,2025-12-10T01:00:00+01:00,PHI,SJS,draw,4.1,0.324,0.243902,0.3284,100.0,lost,0.0,-100.0,home,2025-12-09T08:40:21.389448,2025-12-10T08:38:29.678175
2025-12-10,CAR-CBJ-2025-12-10,2025-12-10T01:30:00+01:00,CAR,CBJ,draw,4.3,0.299,0.232558,0.2857,100.0,lost,0.0,-100.0,home,2025-12-09T08:40:21.389456,2025-12-10T08:38:29.678199
2025-12-10,WPG-DAL-2025-12-10,2025-12-10T02:00:00+01:00,WPG,DAL,home,2.55,0.399,0.392157,0.01745,100.0,lost,0.0,-100.0,away,2025-12-09T08:40:21.389463,2025-12-10T08:38:29.678223
2025-12-10,EDM-BUF-2025-12-10,2025-12-10T03:00:00+01:00,EDM,BUF,away,3.8,0.348,0.263158,0.3224,100.0,lost,0.0,-100.0,draw,2025-12-09T08:40:21.389482,2025-12-10T08:38:29.678273
2025-12-10,NSH-COL-2025-12-10,2025-12-10T03:30:00+01:00,NSH,COL,home,3.8,0.288,0.263158,0.0944,100.0,lost,0.0,-100.0,draw,2025-12-09T08:40:21.389491,2025-12-10T08:38:29.678296
2025-12-11,UTA-FLA-2025-12-11,2025-12-11T03:00:00+01:00,UTA,FLA,home,2.35,0.496,0.425532,0.1656,100.0,lost,0.0,-100.0,away,2025-12-10T08:39:10.722712,2025-12-11T08:38:59.665048
2025-12-07,PHI-COL-2025-12-07,2025-12-07T19:00:00+01:00,PHI,COL,draw,4.0,0.314,0.25,0.256,100.0,lost,0.0,-100.0,away,2025-12-07T08:33:24.330656,2025-12-10T22:28:23.926613
2025-12-07,CAR-SJS-2025-12-07,2025-12-07T23:00:00+01:00,CAR,SJS,away,5.3,0.341,0.188679,0.8073,100.0,won,530.0,430.0,away,2025-12-07T08:33:24.330672,2025-12-10T22:28:23.926826
2025-12-08,DAL-PIT-2025-12-08,2025-12-08T00:00:00+01:00,DAL,PIT,draw,4.2,0.276,0.238095,0.1592,100.0,won,420.0,320.0,draw,2025-12-07T08:33:24.330681,2025-12-10T22:28:24.575699
2025-12-08,MTL-STL-2025-12-08,2025-12-08T01:00:00+01:00,MTL,STL,away,2.75,0.392,0.363636,0.078,100.0,won,275.0,175.0,away,2025-12-07T08:33:24.330690,2025-12-10T22:28:24.575855
2025-12-08,WSH-CBJ-2025-12-08,2025-12-08T01:00:00+01:00,WSH,CBJ,away,3.3,0.358,0.30303,0.1814,100.0,lost,0.0,-100.0,home,2025-12-07T08:33:24.330698,2025-12-10T22:28:24.575973
2025-12-08,ANA-CHI-2025-12-08,2025-12-08T02:00:00+01:00,ANA,CHI,away,3.25,0.366,0.307692,0.1895,100.0,lost,0.0,-100.0,home,2025-12-07T08:33:24.330705,2025-12-10T22:28:24.576070
2025-12-11,CHI-NYR-2025-12-11,2025-12-11T01:30:00+01:00,CHI,NYR,home,2.65,0.393,0.377358,0.04145,100.0,won,265.0,165.0,home,2025-12-10T22:29:46.218231,2025-12-11T08:38:59.665079
